Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess
Logistic Regression,OSTEO,duloxetine_v_nopain,0.6666666666666666,,0.23076923076923078,0.6666666666666666,0.41025641025641024,0.20512820512820512,0.0,0.5897435897435898,0.5897435897435898,0.5128205128205128
LDA,OSTEO,duloxetine_v_nopain,0.4358974358974359,,0.15384615384615385,0.6410256410256411,0.6410256410256411,0.20512820512820512,0.0,0.46153846153846156,0.48717948717948717,0.5128205128205128
SVM,OSTEO,duloxetine_v_nopain,0.6666666666666666,,0.6153846153846154,0.6410256410256411,0.5897435897435898,0.41025641025641024,0.5128205128205128,0.6410256410256411,0.717948717948718,0.5128205128205128
KNN-1,OSTEO,duloxetine_v_nopain,0.5128205128205128,,0.38461538461538464,0.6666666666666666,0.5128205128205128,0.41025641025641024,0.48717948717948717,0.48717948717948717,0.5641025641025641,0.5128205128205128
KNN-2,OSTEO,duloxetine_v_nopain,0.6153846153846154,,0.48717948717948717,0.5897435897435898,0.46153846153846156,0.46153846153846156,0.48717948717948717,0.41025641025641024,0.358974358974359,0.5128205128205128
KNN-3,OSTEO,duloxetine_v_nopain,0.5897435897435898,,0.358974358974359,0.6923076923076923,0.48717948717948717,0.46153846153846156,0.48717948717948717,0.48717948717948717,0.46153846153846156,0.5128205128205128
KNN-4,OSTEO,duloxetine_v_nopain,0.5641025641025641,,0.5641025641025641,0.6153846153846154,0.41025641025641024,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.41025641025641024,0.5128205128205128
KNN-5,OSTEO,duloxetine_v_nopain,0.5384615384615384,,0.5641025641025641,0.6666666666666666,0.41025641025641024,0.41025641025641024,0.48717948717948717,0.5641025641025641,0.5641025641025641,0.5128205128205128
KNN-6,OSTEO,duloxetine_v_nopain,0.48717948717948717,,0.5128205128205128,0.6153846153846154,0.4358974358974359,0.48717948717948717,0.48717948717948717,0.46153846153846156,0.46153846153846156,0.5128205128205128
KNN-7,OSTEO,duloxetine_v_nopain,0.5384615384615384,,0.5897435897435898,0.6410256410256411,0.6153846153846154,0.28205128205128205,0.48717948717948717,0.5128205128205128,0.6410256410256411,0.5128205128205128
KNN-8,OSTEO,duloxetine_v_nopain,0.5128205128205128,,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.28205128205128205,0.48717948717948717,0.5128205128205128,0.5641025641025641,0.5128205128205128
KNN-9,OSTEO,duloxetine_v_nopain,0.5641025641025641,,0.5128205128205128,0.6666666666666666,0.6666666666666666,0.4358974358974359,0.48717948717948717,0.5897435897435898,0.6666666666666666,0.5128205128205128
KNN-10,OSTEO,duloxetine_v_nopain,0.48717948717948717,,0.6410256410256411,0.6410256410256411,0.6666666666666666,0.5641025641025641,0.48717948717948717,0.5641025641025641,0.5128205128205128,0.5128205128205128
KNN-20,OSTEO,duloxetine_v_nopain,0.5641025641025641,,0.4358974358974359,0.6923076923076923,0.6923076923076923,0.5128205128205128,0.5128205128205128,0.5641025641025641,0.6153846153846154,0.5128205128205128
